organization,project_name,location,recording_date,longitude,latitude,method,status,observer,species_code,species_common_name,species_class,individual_appearance_order,tag_start_s,vocalization,abundance,species_comments,is_verified,observer_id
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-04-21 0:00,-111.788589,53.676139,60s None,Transcribed,505,NONE,NONE,,,,,,,,505
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-04-22 2:00,-111.788589,53.676139,60s None,Transcribed,1057,NONE,NONE,,,,,,,,1057
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-04-26 0:00,-111.788589,53.676139,60s None,Transcribed,1906,NONE,NONE,,,,,,,,1906
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-04-26 2:00,-111.788589,53.676139,60s None,Transcribed,877,NONE,NONE,,,,,,,,877
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-04-26 6:43,-111.788589,53.676139,60s None,Transcribed,2034,NONE,NONE,,,,,,,,2034
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-04-28 0:00,-111.788589,53.676139,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-04-30 0:00,-111.788589,53.676139,60s None,Transcribed,1170,NONE,NONE,,,,,,,,1170
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-04-30 6:34,-111.788589,53.676139,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-01 2:00,-111.788589,53.676139,60s None,Transcribed,1057,NONE,NONE,,,,,,,,1057
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-01 6:32,-111.788589,53.676139,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-02 6:30,-111.788589,53.676139,60s None,Transcribed,6,NONE,NONE,,,,,,,,6
