"","location","YEAR","longitude","latitude","SSYR","location_name","wt_project_full_nm","site","quadrant","Type_","Status","LandCover_NonVeg_v1.150m","LandCover_Veg_v1.150m","LandCover_VegNonTreed_v1.150m","LandCover_VegTreed_v1.150m","Species_Abie_Ama_v1.150m","Species_Abie_Bal_v1.150m","Species_Abie_Las_v1.150m","Species_Abie_Spp_v1.150m","Species_Acer_Mac_v1.150m","Species_Acer_Neg_v1.150m","Species_Acer_Pen_v1.150m","Species_Acer_Rub_v1.150m","Species_Acer_Sac_v1.150m","Species_Acer_Sah_v1.150m","Species_Acer_Spi_v1.150m","Species_Acer_Spp_v1.150m","Species_Alnu_Rub_v1.150m","Species_Alnu_Spp_v1.150m","Species_Arbu_Men_v1.150m","Species_Betu_All_v1.150m","Species_Betu_Pap_v1.150m","Species_Betu_Pop_v1.150m","Species_Betu_Spp_v1.150m","Species_Carp_Car_v1.150m","Species_Cary_Cor_v1.150m","Species_Cham_Noo_v1.150m","Species_Fagu_Gra_v1.150m","Species_Frax_Ame_v1.150m","Species_Frax_Nig_v1.150m","Species_Frax_Pen_v1.150m","Species_Genc_Spp_v1.150m","Species_Genh_Spp_v1.150m","Species_Jugl_Cin_v1.150m","Species_Jugl_Nig_v1.150m","Species_Juni_Vir_v1.150m","Species_Lari_Lar_v1.150m","Species_Lari_Lya_v1.150m","Species_Lari_Occ_v1.150m","Species_Lari_Spp_v1.150m","Species_Malu_Spp_v1.150m","Species_Ostr_Vir_v1.150m","Species_Pice_Abi_v1.150m","Species_Pice_Eng_v1.150m","Species_Pice_Gla_v1.150m","Species_Pice_Mar_v1.150m","Species_Pice_Rub_v1.150m","Species_Pice_Sit_v1.150m","Species_Pice_Spp_v1.150m","Species_Pinu_Alb_v1.150m","Species_Pinu_Ban_v1.150m","Species_Pinu_Con_v1.150m","Species_Pinu_Mon_v1.150m","Species_Pinu_Pon_v1.150m","Species_Pinu_Res_v1.150m","Species_Pinu_Spp_v1.150m","Species_Pinu_Str_v1.150m","Species_Pinu_Syl_v1.150m","Species_Popu_Bal_v1.150m","Species_Popu_Gra_v1.150m","Species_Popu_Spp_v1.150m","Species_Popu_Tre_v1.150m","Species_Popu_Tri_v1.150m","Species_Prun_Pen_v1.150m","Species_Prun_Ser_v1.150m","Species_Pseu_Men_v1.150m","Species_Quer_Alb_v1.150m","Species_Quer_Mac_v1.150m","Species_Quer_Rub_v1.150m","Species_Quer_Spp_v1.150m","Species_Sali_Spp_v1.150m","Species_Sorb_Ame_v1.150m","Species_Thuj_Occ_v1.150m","Species_Thuj_Pli_v1.150m","Species_Tili_Ame_v1.150m","Species_Tsug_Can_v1.150m","Species_Tsug_Het_v1.150m","Species_Tsug_Mer_v1.150m","Species_Tsug_Spp_v1.150m","Species_Ulmu_Ame_v1.150m","SpeciesGroups_Broadleaf_Spp_v1.150m","SpeciesGroups_Needleleaf_Spp_v1.150m","SpeciesGroups_Unknown_Spp_v1.150m","Structure_Biomass_Branch_v1.150m","Structure_Biomass_Foliage_v1.150m","Structure_Biomass_StemBark_v1.150m","Structure_Biomass_StemWood_v1.150m","Structure_Biomass_TotalDead_v1.150m","Structure_Biomass_TotalLiveAboveGround_v1.150m","Structure_Stand_Age_v1.150m","Structure_Stand_CrownClosure_v1.150m","Structure_Stand_Height_v1.150m","Structure_Volume_Merch_v1.150m","Structure_Volume_Total_v1.150m","LandCover_NonVeg_v1.565m","LandCover_Veg_v1.565m","LandCover_VegNonTreed_v1.565m","LandCover_VegTreed_v1.565m","Species_Abie_Ama_v1.565m","Species_Abie_Bal_v1.565m","Species_Abie_Las_v1.565m","Species_Abie_Spp_v1.565m","Species_Acer_Mac_v1.565m","Species_Acer_Neg_v1.565m","Species_Acer_Pen_v1.565m","Species_Acer_Rub_v1.565m","Species_Acer_Sac_v1.565m","Species_Acer_Sah_v1.565m","Species_Acer_Spi_v1.565m","Species_Acer_Spp_v1.565m","Species_Alnu_Rub_v1.565m","Species_Alnu_Spp_v1.565m","Species_Arbu_Men_v1.565m","Species_Betu_All_v1.565m","Species_Betu_Pap_v1.565m","Species_Betu_Pop_v1.565m","Species_Betu_Spp_v1.565m","Species_Carp_Car_v1.565m","Species_Cary_Cor_v1.565m","Species_Cham_Noo_v1.565m","Species_Fagu_Gra_v1.565m","Species_Frax_Ame_v1.565m","Species_Frax_Nig_v1.565m","Species_Frax_Pen_v1.565m","Species_Genc_Spp_v1.565m","Species_Genh_Spp_v1.565m","Species_Jugl_Cin_v1.565m","Species_Jugl_Nig_v1.565m","Species_Juni_Vir_v1.565m","Species_Lari_Lar_v1.565m","Species_Lari_Lya_v1.565m","Species_Lari_Occ_v1.565m","Species_Lari_Spp_v1.565m","Species_Malu_Spp_v1.565m","Species_Ostr_Vir_v1.565m","Species_Pice_Abi_v1.565m","Species_Pice_Eng_v1.565m","Species_Pice_Gla_v1.565m","Species_Pice_Mar_v1.565m","Species_Pice_Rub_v1.565m","Species_Pice_Sit_v1.565m","Species_Pice_Spp_v1.565m","Species_Pinu_Alb_v1.565m","Species_Pinu_Ban_v1.565m","Species_Pinu_Con_v1.565m","Species_Pinu_Mon_v1.565m","Species_Pinu_Pon_v1.565m","Species_Pinu_Res_v1.565m","Species_Pinu_Spp_v1.565m","Species_Pinu_Str_v1.565m","Species_Pinu_Syl_v1.565m","Species_Popu_Bal_v1.565m","Species_Popu_Gra_v1.565m","Species_Popu_Spp_v1.565m","Species_Popu_Tre_v1.565m","Species_Popu_Tri_v1.565m","Species_Prun_Pen_v1.565m","Species_Prun_Ser_v1.565m","Species_Pseu_Men_v1.565m","Species_Quer_Alb_v1.565m","Species_Quer_Mac_v1.565m","Species_Quer_Rub_v1.565m","Species_Quer_Spp_v1.565m","Species_Sali_Spp_v1.565m","Species_Sorb_Ame_v1.565m","Species_Thuj_Occ_v1.565m","Species_Thuj_Pli_v1.565m","Species_Tili_Ame_v1.565m","Species_Tsug_Can_v1.565m","Species_Tsug_Het_v1.565m","Species_Tsug_Mer_v1.565m","Species_Tsug_Spp_v1.565m","Species_Ulmu_Ame_v1.565m","SpeciesGroups_Broadleaf_Spp_v1.565m","SpeciesGroups_Needleleaf_Spp_v1.565m","SpeciesGroups_Unknown_Spp_v1.565m","Structure_Biomass_Branch_v1.565m","Structure_Biomass_Foliage_v1.565m","Structure_Biomass_StemBark_v1.565m","Structure_Biomass_StemWood_v1.565m","Structure_Biomass_TotalDead_v1.565m","Structure_Biomass_TotalLiveAboveGround_v1.565m","Structure_Stand_Age_v1.565m","Structure_Stand_CrownClosure_v1.565m","Structure_Stand_Height_v1.565m","Structure_Volume_Merch_v1.565m","Structure_Volume_Total_v1.565m"
"1","1-NE",2015,-110.282402,59.943126,"1-NE-2015","1-NE","Ecosystem Health 2015",1,"NE","Terrestrial","Controlled",2,98,7.66666650772095,90.3333358764648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140000000596046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4866666793823,0,0,0,0,70.8866653442383,0,0,0,0,0,0,0,0,0,0,14.8199996948242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9599990844727,84.3733367919922,0.660000026226044,2.10999989509583,2.26333332061768,2.39666676521301,17.9933338165283,3.71000003814697,24.769998550415,10.9266662597656,60.3499984741211,3.27999997138977,0.95333331823349,24.4200000762939,5.27083327621222,94.7291672229767,13.437500089407,81.2916665077209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28562506660819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310416668653488,0,0,0,0,0,0,0,0.961458392441273,22.832916200161,0,0,0,0,57.8577066659927,0,0,0,0,0.0829166695475578,0,0,0,0,0,8.46166653372347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7472915444523,81.7660431861877,7.48312452994287,1.92979162745178,2.13458335772157,2.19520835019648,16.2902084887028,3.75895833969116,22.5516659766436,18.1945832967758,53.2831246852875,3.84937506914139,1.69999999180436,24.8418748378754
"2","1-NW",2015,-110.282402,59.943126,"1-NW-2015","1-NW","Ecosystem Health 2015",1,"NW","Terrestrial","Controlled",72.3333358764648,27.6666660308838,19.6666660308838,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75999987125397,0,0,0,0,0,0,0,15.7049999237061,7.03999948501587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5599994659424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5599994659424,24.5049991607666,51.9349975585938,0.21000000834465,0.239999994635582,0.393333315849304,2.13000011444092,0.120000004768372,2.97666668891907,20.5699996948242,7.29999971389771,4.01666688919067,0.933333337306976,5.50666666030884,16.977777882417,83.022222773234,24.8000003814697,58.2222222010295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69400003453096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701333332061768,0,0,0,0,0,0,0,4.03233348528544,13.8371108373006,0,0,0,0,47.4491104125977,0,0,0,0,0,0,0,0,0,0,8.8033330698808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4973330994447,66.0198890686035,23.4807770947615,1.5151111026605,1.68733337024848,1.73022223909696,12.9186667283376,3.2984444697698,17.8526663462321,17.2199998219808,38.8922220230103,3.72088893254598,1.65111110607783,18.3548888524373
"3","1-SE",2015,-110.282402,59.943126,"1-SE-2015","1-SE","Ecosystem Health 2015",1,"SE","Terrestrial","Controlled",0,100,2.33333325386047,97.6666641235352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140000000596046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05333340167999,71.283332824707,0,0,0,0,21.2800006866455,0,0,0,0,0,0,0,0,0,0,5.78333330154419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92333316802979,93.6166687011719,0.456666678190231,1.63666665554047,1.71666669845581,1.66333341598511,11.4799995422363,1.69333338737488,16.5,48.3833351135254,60.0733337402344,4.68666696548462,0.556666672229767,23.5666675567627,3.51111104488373,96.488889058431,13.8888888994853,82.5999994913737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74355561335882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489555557568868,0,0,0,0,0,0,0,10.2662223974864,29.6559996287028,0,0,0,0,38.6546657562256,0,0,0,0,0.35377779006958,0,0,0,0,0,14.1344444274902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8780000766118,79.4202237447103,4.69799998005231,1.71533329089483,1.87511115074158,2.18577775557836,14.7506669680278,3.54644439220428,20.5271106402079,32.668666267395,54.3484442392985,5.71000000635783,2.90800004005432,29.006666914622
"4","1-SW",2015,-110.282402,59.943126,"1-SW-2015","1-SW","Ecosystem Health 2015",1,"SW","Terrestrial","Controlled",10.3333330154419,89.6666641235352,15.3333330154419,74.3333358764648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163333341479301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819999992847443,0,0,0,0,0,0,0,42.906665802002,15.7399997711182,0,0,0,0,0,0,0,0,0,1.32666671276093,0,0,0,0,0,37.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9133338928223,60.7933311462402,1.28666663169861,1.22333335876465,1.62333333492279,2.34333324432373,13.3900003433228,2.3899998664856,18.5799999237061,56.223331451416,57.8999977111816,11.1199998855591,8.44000053405762,44.716667175293,33.3333335399628,66.6666666666667,30.6888890107473,35.9777777353923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421777794758479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07844443321228,0,0,0,0,0,0,0,12.8727779865265,17.5528886477152,0,0,0.0491111119588216,0,10.1580000559489,3.11111119588216,0,0,0,0.265333342552185,0,0,0,0,0,18.5502219041189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9719998280207,45.0876665751139,35.9387767732143,0.951555546124776,0.946000008781751,1.40822218457858,8.19044466018677,1.75044444898764,11.4971109390259,38.5004437128703,24.1973327795664,6.61866669654846,4.41399999459585,19.1353335062663
"5","1000-NE",2020,-118.43872,54.316402,"1000-NE-2020","1000-NE","Ecosystem Health 2020",1000,"NE","Terrestrial","Controlled",0,100,4.66666650772095,95.3333358764648,0,0.519999980926514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10333323478699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3099994659424,25.64333152771,0,0,0,0,0,7.81666660308838,0,0,0,0,0,0,0,0,0,41.7666664123535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8699989318848,55.2900009155273,0.839999973773956,7.53666639328003,4.73333311080933,10.1566667556763,48.4700012207031,8.70333290100098,70.8933334350586,75.4599990844727,59.0066680908203,16.3566665649414,65.0299987792969,121.24666595459,0.94117649863748,99.0588235294118,8.41176472691929,90.6470601698932,0,3.78235283669303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94862747893614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503921543850618,0,0,0,0,0,0,0,19.6625489347121,10.6117645852706,0,0,0,0,0,26.9894111997941,0,0,0,1.13607844184427,0,0,4.10588235364241,0,0,29.445686452529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5001960642198,62.2325488819795,1.26588233604151,9.48078436010024,5.51098036766052,11.2854901341831,65.5721578037038,11.1649018736447,91.8470582401051,77.911569034352,57.4607840145335,18.5005882487578,105.133725699256,156.109020457548
"6","1000-NW",2020,-118.43872,54.316402,"1000-NW-2020","1000-NW","Ecosystem Health 2020",1000,"NW","Terrestrial","Controlled",0,100,0.666666686534882,99.3333358764648,0,0.469999998807907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9466667175293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2199993133545,7.35666704177856,0,0,0,0,0,12.7266664505005,0,0,0,0,0,0,8.18333339691162,0,0,33.0200004577637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1499977111816,50.7733345031738,0.0733333304524422,9.27666664123535,4.9433331489563,10.6633329391479,54.243335723877,10.0533332824707,79.1233367919922,66.4300003051758,51.6199989318848,15.4966669082642,69.4033355712891,131.323333740234,0.22916667163372,99.7708334922791,5.37500002235174,94.3958344459534,0,4.49520821054466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08458346873522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535416640341282,0,0,0,0,0,0,0,29.6210416257381,8.42541677504778,0,0,0,0,0,14.9308330118656,0,0,0,1.20708334445953,0,0,3.6000000089407,0,0,31.7537501454353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4383332133293,58.7331244945526,0.82770830555819,10.0479167103767,5.7970831990242,11.4502082467079,63.5300011634827,12.0649999082088,90.8224999904633,74.5912508964539,56.0068745613098,18.0725000500679,99.6510407924652,156.325001239777
"7","1000-SE",2020,-118.43872,54.316402,"1000-SE-2020","1000-SE","Ecosystem Health 2020",1000,"SE","Terrestrial","Controlled",0,100,6.33333349227905,93.6666641235352,0,16.9433326721191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6033325195312,6.62000036239624,0,0,0,0,0,7.37333297729492,0,0,0,0,0,0,0,0,0,31.9966659545898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.9966659545898,67.5400009155273,0.466666638851166,11.5699996948242,6.81333303451538,12.4866666793823,69.5166702270508,14.7266664505005,100.386665344238,83.7300033569336,64.379997253418,21.4799995422363,124.173332214355,180.366668701172,0.431372558369356,99.5686277501723,7.09803918880575,92.470588684082,0,4.60078418780776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65941176694982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29411771718194,0,0,0,0,0,0,0,23.1996077369241,16.226274616578,0,0,0,0,0,16.8321563566432,0,0,0,0,0,0,3.81039212731754,0,0,30.3060785461875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7758823002086,63.152941311107,1.07078428873244,10.3094118062188,6.05117649190566,12.0062745318693,67.6043145796832,13.5972546970143,95.969804427203,87.5174508936265,60.866470561308,18.7178432240206,113.459607853609,164.328824660357
"8","1000-SW",2020,-118.43872,54.316402,"1000-SW-2020","1000-SW","Ecosystem Health 2020",1000,"SW","Terrestrial","Controlled",0,100,6.33333349227905,93.6666641235352,0,16.9433326721191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6033325195312,6.62000036239624,0,0,0,0,0,7.37333297729492,0,0,0,0,0,0,0,0,0,31.9966659545898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.9966659545898,67.5400009155273,0.466666638851166,11.5699996948242,6.81333303451538,12.4866666793823,69.5166702270508,14.7266664505005,100.386665344238,83.7300033569336,64.379997253418,21.4799995422363,124.173332214355,180.366668701172,0.27083333954215,99.7291669845581,6.66666666418314,93.0624995231628,0,6.83937482349575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72270833700895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23479172587395,0,0,0,0,0,0,0,25.4508329182863,17.3627086803317,0,0,0,0,0,9.13645825535059,0,0,0,0,0,0,5.03583323955536,0,0,30.3333332240582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0918749272823,62.0241668224335,0.884374971035868,10.9304167330265,6.38187496364117,12.2383334040642,66.8929181098938,12.4422916471958,96.443541765213,89.8652091026306,64.6202073097229,19.7845832705498,112.174582719803,166.077916622162
"35","1032-SE",2020,-119.04585,54.192703,"1032-SE-2020","1032-SE","Ecosystem Health 2020",1032,"SE","Terrestrial","Controlled",0,100,4,96,0,7.65666627883911,6.58666658401489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8433322906494,11.9366674423218,0,0,0,0,0,52.5833320617676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.6033325195312,0.396666675806046,7.52666664123535,7.01333332061768,6.46666669845581,44.5099983215332,7.23000001907349,65.5166625976562,97.1399993896484,54.2533340454102,12.2799997329712,34.3966674804688,98.7799987792969,0,100,19.4901960036334,80.5098039963666,0,3.23254888197955,9.12294110918746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52960788502413,0,0,0,0,0,0,5.4864705049378,24.224705471712,7.12745123049792,0,0,3.43647062077242,0,0,38.1354903333327,0,0,0,0,0,0,0,0,0,0.173921566675691,0,0,0,0.580588228562299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173921566675691,92.8743133264429,6.95156858598485,9.78490202567157,7.52352933322682,7.74862752942478,57.3613717696246,9.37431376120623,82.418822148267,125.81882314121,48.2798039089231,15.4101960343473,80.4784311546999,138.879999974195
"36","1032-SW",2020,-119.04585,54.192703,"1032-SW-2020","1032-SW","Ecosystem Health 2020",1032,"SW","Terrestrial","Controlled",0,100,7,93,0,0,8.77999973297119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6633338928223,0,0,0,0,0,0,68.0100021362305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.4533309936523,0.543333351612091,9.3633337020874,8.23999977111816,9.7266674041748,79.9499969482422,9.31333351135254,107.279998779297,116.400001525879,59.0833320617676,16.4833335876465,120.336669921875,191.763336181641,0,100,8.13333333333333,91.8666666666667,0,3.27266651789347,12.96933319966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76888869603475,25.0837771097819,6.16800029277802,0,0,0.646222241719564,0,0,44.3562222798665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.2626663208008,0.736888895432154,11.0384444872538,8.67155555089315,8.86888904571533,66.3933326721191,10.5662221908569,94.9728892008464,128.095333862305,55.4997779846191,15.6300001144409,92.8275561014811,160.513111368815
